ID,Department,Manager,Location,DataFan
799,DivisionY,3122,Birmingham,no
1537,Technology,3170,Birmingham,no
745,Operations,1502,Birmingham,no
2871,DivisionY,1649,Birmingham,no
2506,DivisionY,1243,Birmingham,no
2259,Facilities,32,Birmingham,no
1453,Facilities,32,Birmingham,no
32,Facilities,836,Birmingham,no
2918,Facilities,32,Birmingham,no
928,Facilities,2809,Birmingham,no
441,Facilities,32,Birmingham,no
35,Sales,2973,Birmingham,no
321,DivisionY,822,Birmingham,no
1589,DivisionY,1649,Birmingham,no
1278,Technology,965,Birmingham,yes
1078,Technology,169,Birmingham,no
1696,Customer Services,509,Birmingham,no
212,Sales,1401,Birmingham,no
1224,Training,173,Birmingham,no
3263,Finance,2753,Birmingham,no
3080,DivisionX,770,Birmingham,no
446,Technology,841,Birmingham,yes
2059,Technology,3277,Birmingham,no
819,Technology,446,Birmingham,no
3259,Facilities,836,Birmingham,no
1746,DivisionX,2795,Birmingham,no
3328,DivisionY,804,Birmingham,no
1392,Customer Services,Sarah O'Reilly (On Leave),Birmingham,no
2050,DivisionX,2946,Birmingham,no
3217,DivisionY,1006,Birmingham,no
778,Technology,1221,Birmingham,no
1980,DivisionX,599,Birmingham,no
2031,DivisionX,3124,Birmingham,no
612,DivisionY,2881,Birmingham,no
2579,DivisionY,1032,Birmingham,no
1617,DivisionX,2540,Birmingham,no
2853,Technology,976,Birmingham,no
569,DivisionX,2534,Birmingham,no
1024,Facilities,836,Birmingham,no
2656,Sales,1401,Birmingham,no
1699,Technology,3139,Birmingham,no
1968,Sales,2973,Birmingham,no
3277,Technology,2842,Birmingham,no
852,DivisionY,2573,Birmingham,no
1578,DivisionY,1443,Birmingham,no
2968,PR,2144,Birmingham,no
1641,Customer Services,556,Birmingham,no
3240,Training,2487,Birmingham,no
1349,DivisionX,857,Birmingham,no
1976,DivisionY,643,Birmingham,no
949,Technology,819,Birmingham,no
2575,DivisionX,1367,Birmingham,no
1123,DivisionY,78,Birmingham,no
368,DivisionX,1710,Birmingham,no
2515,DivisionX,2540,Birmingham,no
1147,Technology,1701,Birmingham,no
1443,DivisionY,2871,Birmingham,no
2881,DivisionY,1649,Birmingham,no
1197,Technology,3136,Birmingham,no
1432,DivisionY,643,Birmingham,no
820,HR,2809,Birmingham,no
195,DivisionY,1071,Birmingham,no
971,Training,946,Birmingham,no
2283,Technology,2314,Birmingham,yes
42,Customer Services,711,Birmingham,no
2458,Technology,1304,Birmingham,no
733,DivisionX,1016,Birmingham,no
1373,DivisionX,1980,Birmingham,no
2795,DivisionX,1309,Birmingham,no
1352,Training,2487,Birmingham,no
2459,Sales,Adrian Horrocks (On Leave),Birmingham,no
2171,DivisionX,2534,Madrid,no
2635,DivisionY,2832,Birmingham,no
469,DivisionX,828,Birmingham,no
431,DivisionY,333,Birmingham,no
1500,DivisionX,272,Birmingham,no
2540,DivisionX,3071,Birmingham,no
630,Technology,1557,Birmingham,no
86,Facilities,836,Birmingham,no
233,Finance,3051,Birmingham,no
1052,DivisionX,3050,Birmingham,no
2832,DivisionY,2881,Birmingham,no
347,DivisionY,2881,Birmingham,no
1502,Operations,2427,Birmingham,no
155,Technology,42,Birmingham,no
758,Finance,2753,Birmingham,no
3073,DivisionX,2946,Birmingham,no
2629,DivisionX,577,Birmingham,no
2902,Technology,819,Birmingham,no
2764,DivisionY,655,Birmingham,no
2742,DivisionY,2881,Birmingham,no
2976,Technology,976,Birmingham,yes
1126,Sales,1401,Birmingham,no
1730,DivisionX,2280,Birmingham,no
627,DivisionX,3075,Birmingham,no
106,DivisionY,321,Birmingham,no
1780,Technology,197,Birmingham,no
1877,Technology,1221,Birmingham,no
1532,Legal,1962,Birmingham,no
1064,DivisionX,3071,Birmingham,no
1399,DivisionX,315,Birmingham,no
1181,Technology,976,Birmingham,no
1446,DivisionX,577,Birmingham,no
2440,DivisionY,528,Birmingham,no
855,DivisionX,3075,Birmingham,no
848,Technology,2455,Birmingham,no
3269,Communications,1998,Birmingham,no
1380,DivisionX,573,Birmingham,no
2335,DivisionX,391,Birmingham,no
1612,Technology,1363,Birmingham,no
3069,Training,3206,Birmingham,no
145,Training,2042,Birmingham,no
3122,DivisionY,2573,Birmingham,no
66,Operations,2144,Birmingham,no
130,Technology,889,Birmingham,no
2472,Customer Services,556,Birmingham,no
2016,DivisionX,3071,Birmingham,no
1599,Finance,1515,Birmingham,no
1023,DivisionX,Christopher Willis (On Leave),Birmingham,no
1251,Finance,3051,Birmingham,no
1720,DivisionY,2824,Birmingham,no
333,DivisionY,2824,Birmingham,no
2437,Technology,1278,Birmingham,no
2845,DivisionX,315,Birmingham,no
3304,DivisionY,2046,Birmingham,no
1506,DivisionY,822,Birmingham,no
425,DivisionY,182,Birmingham,no
1690,Legal,1532,Birmingham,no
1479,DivisionY,1413,Birmingham,no
1602,DivisionX,1016,Birmingham,no
1413,DivisionY,2904,Birmingham,no
372,Finance,1620,Birmingham,no
2280,DivisionX,1130,Birmingham,no
1629,DivisionY,182,Birmingham,no
1110,DivisionX,1710,Birmingham,no
2694,Technology,1147,Birmingham,no
204,DivisionY,449,Birmingham,no
291,DivisionX,602,Birmingham,no
1710,DivisionX,2050,Birmingham,no
1542,Operations,770,Birmingham,no
471,Technology,819,Birmingham,no
283,Technology,819,Birmingham,no
2131,Technology,42,Birmingham,no
2876,DivisionX,1399,Birmingham,no
537,Training,1416,Birmingham,no
577,DivisionX,2016,Birmingham,no
173,Training,5,Birmingham,no
273,HR,833,Birmingham,no
556,Customer Services,711,Birmingham,no
1316,Communications,56,Birmingham,no
1646,DivisionY,3325,Birmingham,no
828,DivisionX,2144,Birmingham,no
3058,DivisionY,3188,Birmingham,no
216,Technology,841,Birmingham,yes
2533,DivisionX,Christopher Willis (On Leave),Birmingham,no
1127,DivisionX,733,Birmingham,no
2907,Technology,848,Birmingham,no
1154,Sales,221,Birmingham,no
625,Technology,411,Birmingham,no
1998,Communications,56,Birmingham,no
21,Technology,1795,Birmingham,yes
2231,DivisionX,1452,Birmingham,no
963,DivisionX,627,Birmingham,no
476,DivisionY,1266,Birmingham,no
1266,DivisionY,655,Birmingham,no
857,DivisionX,1452,Birmingham,no
509,Customer Services,556,Birmingham,no
51,DivisionX,1979,Birmingham,no
945,DivisionX,3180,Birmingham,no
2363,DivisionX,3180,Birmingham,no
1995,Facilities,32,Birmingham,no
215,Facilities,3259,Birmingham,no
3196,Sales,Adrian Horrocks (On Leave),Birmingham,no
2772,Sales,Adrian Horrocks (On Leave),Birmingham,no
1665,Sales,221,Birmingham,no
2847,Sales,Adrian Horrocks (On Leave),Birmingham,no
1420,Technology,3244,Birmingham,no
3094,Technology,889,Birmingham,no
9,Finance,2920,Birmingham,no
1938,Technology,848,Birmingham,no
1786,DivisionX,272,Birmingham,no
178,DivisionX,1023,Birmingham,no
3161,Customer Services,42,Birmingham,no
3200,Finance,1007,Birmingham,no
2567,DivisionY,2832,Birmingham,no
3036,HR,56,Birmingham,no
1152,DivisionY,655,Birmingham,yes
220,Technology,1197,Birmingham,no
864,DivisionX,1399,Birmingham,no
1428,DivisionX,569,Birmingham,no
379,Legal,Svetlana Shadrina (On Leave),Birmingham,no
2924,Technology,2384,Birmingham,no
46,Technology,2348,Birmingham,no
400,DivisionY,2824,Birmingham,no
2414,Sales,2656,Birmingham,no
709,Sales,2656,Birmingham,no
3004,Sales,221,Birmingham,no
3170,Technology,1304,Birmingham,no
74,DivisionY,1443,Birmingham,no
2826,DivisionY,1071,Birmingham,no
1811,DivisionY,308,Birmingham,no
2979,DivisionX,1113,Birmingham,no
3052,DivisionY,1105,Birmingham,no
1376,DivisionY,1443,Birmingham,no
2649,DivisionY,2164,Birmingham,no
2588,DivisionX,1052,Birmingham,no
1878,DivisionX,2865,Birmingham,no
822,DivisionY,1395,Birmingham,no
250,DivisionX,2280,Birmingham,no
805,DivisionY,1455,Birmingham,no
2021,Technology,1278,Birmingham,no
2093,DivisionY,195,Birmingham,no
1945,Technology,1363,Birmingham,no
1233,DivisionX,1994,Birmingham,no
634,DivisionX,2845,Birmingham,no
1795,Technology,2144,Birmingham,no
3255,Finance,1902,Birmingham,no
2331,Technology,1181,Birmingham,no
952,DivisionY,131,Birmingham,no
1734,Finance,3140,Birmingham,no
1315,Training,946,Birmingham,no
1071,DivisionY,James MacFarlane [C],Birmingham,no
789,DivisionX,1979,Birmingham,no
2146,Customer Services,1960,Birmingham,no
2785,Training,1666,Birmingham,no
76,Training,1416,Birmingham,no
3136,Technology,1029,Birmingham,no
2716,DivisionX,224,Birmingham,no
1308,Technology,21,Birmingham,no
2314,Technology,1795,Birmingham,yes
2983,Training,1224,Birmingham,no
1942,DivisionY,1455,Birmingham,no
2837,DivisionY,1266,Birmingham,no
2842,Technology,841,Birmingham,yes
2144,PR,2144,Birmingham,no
1858,Sales,Adrian Horrocks (On Leave),Birmingham,no
1770,DivisionY,2602,Birmingham,no
727,Sales,3209,Birmingham,no
3010,DivisionX,2945,Birmingham,no
1994,DivisionX,2946,Birmingham,no
1865,Technology,793,Birmingham,no
2343,Training,2042,Birmingham,no
2701,DivisionX,627,Birmingham,no
2406,DivisionX,3071,Birmingham,no
2690,DivisionY,3218,Birmingham,no
148,Technology,411,Birmingham,no
516,Finance,3067,Birmingham,no
1494,Finance,372,Birmingham,no
1186,Technology,2269,Birmingham,no
2789,Training,233,Birmingham,no
1016,DivisionX,1130,Birmingham,no
1900,Technology,976,Birmingham,no
1457,DivisionX,602,Birmingham,no
2160,DivisionX,2703,Birmingham,no
1526,DivisionX,2050,Birmingham,no
49,Technology,446,Birmingham,no
56,HR,2144,Birmingham,no
1433,Technology,2976,Birmingham,no
24,DivisionX,1023,Birmingham,no
1874,Communications,417,Birmingham,no
1378,Technology,793,Birmingham,no
2517,DivisionX,1130,Birmingham,no
393,Finance,1620,Birmingham,no
2456,DivisionY,3188,Birmingham,yes
2583,Customer Services,711,Birmingham,no
2744,DivisionX,3075,Birmingham,no
2995,DivisionX,3050,Birmingham,no
1822,DivisionY,2046,Birmingham,yes
1557,Technology,2142,Birmingham,no
381,Technology,2331,Birmingham,no
272,DivisionX,8,Birmingham,no
1902,Finance,66,Birmingham,no
3144,DivisionY,612,Birmingham,no
105,DivisionX,627,Birmingham,no
762,DivisionY,612,Birmingham,no
1180,DivisionY,2029,Birmingham,no
1449,DivisionY,2602,Birmingham,no
3229,DivisionY,321,Birmingham,no
2061,DivisionY,2264,Birmingham,yes
244,Finance,1007,Birmingham,no
2573,DivisionY,1105,Birmingham,no
1411,DivisionY,2029,Birmingham,no
748,DivisionY,384,Birmingham,no
2055,Finance,3221,Birmingham,no
920,DivisionY,3188,Birmingham,no
1263,DivisionY,2046,Birmingham,no
170,DivisionY,431,Birmingham,no
2420,Finance,1902,Birmingham,no
741,HR,1165,Birmingham,no
2233,DivisionY,333,Birmingham,no
346,Technology,976,Birmingham,no
678,DivisionY,528,Birmingham,no
2382,Legal,622,Birmingham,no
163,Customer Services,556,Birmingham,no
2605,DivisionY,2260,Birmingham,no
3084,Finance,313,Birmingham,no
744,DivisionY,2742,Birmingham,no
1783,Finance,1494,Birmingham,no
2766,Finance,433,Birmingham,no
1452,DivisionX,828,Birmingham,no
1501,Sales,2656,Birmingham,no
3051,Finance,2144,Birmingham,no
1986,Legal,1962,Birmingham,no
3201,Technology,3170,Birmingham,yes
1521,Finance,313,Birmingham,no
2038,Finance,1007,Birmingham,no
241,Finance,1620,Birmingham,no
956,DivisionX,1233,Birmingham,no
1324,DivisionY,3331,Birmingham,yes
2850,Technology,502,Birmingham,no
2391,Finance,372,Birmingham,no
129,DivisionY,2029,Birmingham,no
2704,DivisionY,1455,Birmingham,no
2481,PR,2144,Birmingham,no
2613,DivisionX,1349,Birmingham,no
2946,DivisionX,828,Birmingham,no
131,DivisionY,2029,New York,no
804,DivisionY,131,Birmingham,no
2606,Training,601,Birmingham,no
1595,DivisionY,2743,Birmingham,no
2116,DivisionY,1413,Birmingham,no
528,DivisionY,1822,Birmingham,no
2103,DivisionX,1260,Birmingham,no
897,Customer Services,137,Birmingham,no
833,HR,56,Birmingham,yes
502,Technology,1029,Birmingham,no
761,DivisionY,2121,Birmingham,no
605,Technology,197,Birmingham,no
2214,Finance,1521,Birmingham,no
1273,Finance,1515,Birmingham,no
1922,DivisionY,333,Birmingham,no
1636,DivisionX,1349,Birmingham,no
465,DivisionX,951,Birmingham,no
1588,Operations,3287,Birmingham,no
582,DivisionX,2538,Birmingham,no
851,DivisionY,2904,Birmingham,no
3225,Legal,622,Birmingham,no
1385,DivisionY,1413,Birmingham,no
886,DivisionY,3294,Birmingham,no
1065,DivisionY,1395,Birmingham,no
110,Technology,2455,Birmingham,no
2829,DivisionY,1335,Birmingham,no
2758,DivisionY,2826,Birmingham,no
939,DivisionY,1266,Birmingham,no
29,Training,2396,Birmingham,no
3128,DivisionY,1411,Birmingham,no
579,Legal,1962,Birmingham,no
384,DivisionY,1567,Birmingham,no
1648,DivisionY,2764,Birmingham,no
134,Finance,313,Birmingham,no
1839,Training,1691,Birmingham,no
1515,Finance,313,Birmingham,no
1149,Technology,1627,Birmingham,no
1881,Technology,1557,Birmingham,no
77,Technology,66,Birmingham,no
3223,Training,541,Birmingham,no
2819,DivisionX,552,Birmingham,yes
364,DivisionX,577,Birmingham,no
1693,Operations,794,Birmingham,no
621,DivisionY,431,Birmingham,no
2563,Finance,3221,Birmingham,no
2922,DivisionX,627,Birmingham,no
3050,DivisionX,828,Birmingham,no
1223,Technology,1161,Birmingham,no
3287,Finance,1620,Birmingham,no
169,Technology,1557,Birmingham,no
473,Training,Alison Evans (On Leave),Birmingham,no
506,DivisionY,1922,Birmingham,no
507,DivisionY,384,Birmingham,no
1320,DivisionY,2826,Birmingham,no
841,Technology,1795,Birmingham,yes
1179,Training,971,Birmingham,no
3221,Finance,3051,Birmingham,no
2056,DivisionY,2233,Birmingham,no
313,Finance,1620,Birmingham,no
1455,DivisionY,385,Birmingham,no
2534,DivisionX,2946,Birmingham,no
1739,DivisionX,2995,Birmingham,yes
1395,DivisionY,2046,Birmingham,no
2197,Finance,1660,Birmingham,no
2939,Technology,2314,Birmingham,no
3109,DivisionY,1922,Birmingham,no
1318,Legal,1962,Birmingham,no
3167,DivisionY,2832,Birmingham,no
135,DivisionY,2871,New York,no
1879,DivisionX,1526,Birmingham,no
2550,DivisionX,577,Birmingham,no
883,Training,2495,Birmingham,no
417,Communications,1998,Birmingham,no
552,DivisionX,469,Birmingham,no
1231,Technology,2314,Birmingham,no
1666,Training,1744,Birmingham,no
1864,DivisionX,3180,Birmingham,no
2999,DivisionX,2876,Birmingham,no
1035,Training,1855,Birmingham,no
1978,Finance,3140,Birmingham,no
2618,DivisionY,265,Birmingham,no
2603,DivisionY,2121,Birmingham,no
3331,DivisionY,1822,Birmingham,no
2340,Finance,313,Birmingham,no
198,DivisionX,1522,Birmingham,no
2792,DivisionY,2111,Birmingham,no
1403,DivisionY,1395,Birmingham,yes
1018,DivisionY,1395,Birmingham,no
385,DivisionY,1822,Birmingham,no
1765,DivisionY,1297,Birmingham,no
2057,Technology,2976,Birmingham,yes
1367,DivisionX,2050,Birmingham,no
1339,DivisionY,3331,Birmingham,no
2361,DivisionY,2862,Birmingham,no
1910,Technology,21,Birmingham,no
3224,DivisionY,528,Birmingham,no
1164,Technology,3277,Birmingham,no
3063,DivisionY,3298,Birmingham,yes
2444,DivisionY,1822,Birmingham,no
2044,Customer Services,494,Birmingham,no
308,DivisionY,1822,Birmingham,no
655,DivisionY,2046,Birmingham,no
2790,Training,173,Birmingham,no
2024,DivisionY,449,Birmingham,no
488,DivisionY,1475,Birmingham,no
2473,DivisionY,2602,Birmingham,no
972,Finance,433,Birmingham,no
669,DivisionY,2440,Birmingham,no
2390,DivisionX,1710,Birmingham,no
262,Technology,1197,Birmingham,no
68,Technology,1816,Birmingham,no
2672,DivisionY,2826,Birmingham,no
617,Technology,2572,Birmingham,no
63,DivisionY,457,Birmingham,no
2164,DivisionY,822,Birmingham,no
3188,DivisionY,528,Birmingham,no
265,DivisionY,2029,Birmingham,no
1175,DivisionX,291,Birmingham,no
2077,Sales,221,Birmingham,no
174,DivisionY,308,Birmingham,no
1919,Customer Services,2044,Birmingham,no
594,DivisionY,3331,Birmingham,no
2596,DivisionY,Dan Edwards (On Leave),Birmingham,yes
2569,DivisionY,1018,Birmingham,no
494,Customer Services,711,Birmingham,no
2862,DivisionY,933,Birmingham,no
2973,Sales,1401,Birmingham,no
2369,DivisionY,655,Birmingham,yes
1382,DivisionY,653,Birmingham,no
3294,DivisionY,78,Birmingham,no
324,Sales,3209,Birmingham,no
422,Customer Services,163,Birmingham,no
653,DivisionY,1475,Birmingham,no
2126,Sales,3209,Birmingham,no
1174,DivisionY,2111,Birmingham,no
946,Training,1666,Birmingham,no
3113,Finance,3051,Birmingham,no
415,Technology,1161,Birmingham,yes
2323,Technology,1795,Birmingham,no
2003,DivisionX,2575,Birmingham,no
2223,DivisionY,3325,Birmingham,no
1092,HR,1165,Birmingham,no
1398,DivisionX,2194,Dubai,no
2904,DivisionY,2824,Birmingham,no
740,DivisionY,2341,Birmingham,no
2594,DivisionY,3088,New York,yes
357,Customer Services,494,Birmingham,no
527,DivisionY,503,Birmingham,no
933,DivisionY,655,Birmingham,no
2298,Training,2385,Birmingham,no
587,DivisionY,2862,Birmingham,no
874,Training,304,Birmingham,no
2364,DivisionY,1762,Birmingham,no
325,DivisionX,828,Birmingham,no
1507,DivisionY,1203,Birmingham,no
2631,DivisionY,503,Birmingham,no
2903,DivisionX,1979,Birmingham,yes
974,Training,971,Birmingham,no
1379,DivisionY,933,Birmingham,no
1909,Training,1199,Birmingham,no
2377,DivisionX,1600,Madrid,no
1630,Customer Services,2044,Birmingham,no
2717,DivisionY,1379,Birmingham,no
1762,DivisionY,1475,Birmingham,no
2312,DivisionY,933,Birmingham,no
88,Technology,1806,Birmingham,no
2798,Customer Services,163,Birmingham,no
435,DivisionY,2260,Birmingham,no
831,Finance,3221,Birmingham,no
2783,DivisionY,3218,Birmingham,no
2967,Facilities,32,Birmingham,no
1474,Technology,1181,Birmingham,no
2702,Finance,1978,Birmingham,no
59,DivisionY,1455,Birmingham,yes
3125,Technology,1795,Birmingham,no
2097,DivisionY,385,Birmingham,no
2068,Customer Services,2044,Birmingham,no
1913,DivisionY,2111,Birmingham,no
2778,DivisionX,1373,Birmingham,no
932,DivisionX,284,Birmingham,no
3226,DivisionY,2111,Birmingham,no
2971,DivisionY,1411,Birmingham,no
2595,DivisionY,3188,Birmingham,no
3299,DivisionY,2809,Birmingham,no
2745,DivisionY,2824,Birmingham,no
1166,Operations,66,Birmingham,no
3325,DivisionY,655,Birmingham,no
3338,Technology,3232,Birmingham,no
1917,DivisionY,3331,Birmingham,no
2130,DivisionX,1052,Birmingham,no
558,DivisionY,3294,Birmingham,no
3218,DivisionY,2029,Birmingham,no
602,DivisionX,855,Birmingham,no
2254,DivisionY,706,Birmingham,no
2743,DivisionY,1152,Birmingham,no
2667,DivisionY,503,Birmingham,no
1475,DivisionY,706,Birmingham,no
354,Technology,1278,Birmingham,yes
832,DivisionX,2534,New York,no
2460,DivisionY,2328,New York,no
2507,DivisionY,2341,New York,no
2341,DivisionY,933,New York,no
2465,DivisionY,2881,New York,no
320,DivisionY,2328,New York,no
706,DivisionY,2824,New York,no
1105,DivisionY,1395,New York,no
2066,DivisionX,2099,New York,no
970,DivisionY,1254,New York,no
2645,DivisionY,2328,New York,no
1601,DivisionY,457,New York,no
1335,DivisionY,2871,New York,no
2357,DivisionY,131,New York,no
1755,DivisionX,1505,New York,no
1037,DivisionY,1395,New York,no
1759,DivisionX,3317,New York,no
3253,Customer Services,494,New York,no
3054,DivisionY,449,New York,no
2441,DivisionY,933,New York,no
1467,Technology,574,Manila,no
445,Technology,2085,Manila,no
591,Technology,2315,Manila,no
2925,Technology,786,Manila,no
786,Technology,965,Manila,no
455,Technology,591,Manila,no
1312,Technology,1181,Manila,no
58,Technology,2491,Manila,no
2236,Technology,2625,Manila,no
419,Technology,2931,Manila,no
1615,Technology,793,Manila,no
367,Technology,786,Manila,no
986,Technology,1261,Manila,no
1676,Technology,144,Manila,no
2580,Technology,930,Manila,no
257,Technology,12,Manila,no
913,Technology,841,Manila,no
561,Technology,1312,Manila,no
3351,Technology,2998,Manila,no
930,Technology,1615,Manila,no
2542,Technology,184,Manila,no
2362,Technology,2911,Manila,no
138,Technology,1472,Manila,no
1342,Technology,1801,Manila,no
1397,Technology,479,Manila,no
1703,Technology,574,Manila,no
1723,Technology,184,Manila,no
2491,Technology,1615,Manila,no
1031,Technology,2675,Manila,no
1672,Technology,144,Manila,no
1933,Technology,913,Manila,no
1592,Technology,266,Manila,no
1731,Technology,786,Manila,no
1220,Technology,1550,Manila,no
2004,Technology,591,Manila,no
2489,Technology,690,Manila,no
2315,Technology,3136,Manila,no
329,Technology,2931,Manila,no
26,Technology,1716,Manila,no
1807,Technology,786,Manila,no
1716,Technology,2315,Manila,no
1970,Technology,184,Manila,no
690,Technology,913,Manila,no
3105,DivisionZ,181,Manila,no
1550,Technology,2315,Manila,no
2053,Technology,786,Manila,no
1966,Technology,479,Manila,no
2052,Technology,181,Manila,no
632,Technology,2675,Manila,no
1659,Technology,2914,Manila,no
1261,Technology,1795,Manila,no
636,Technology,19,Manila,no
2880,DivisionZ,181,Manila,no
3059,Technology,2491,Manila,no
1695,Technology,21,Manila,no
2911,Technology,913,Manila,no
574,Technology,913,Manila,no
1106,Technology,1482,Manila,no
19,Technology,1615,Manila,no
1068,Technology,2491,Manila,no
3126,Technology,1261,Manila,no
358,Technology,2491,Manila,no
2518,Technology,1312,Manila,no
2625,Technology,1701,Manila,no
1111,Technology,468,Manila,no
468,Technology,1615,Manila,no
1553,Technology,997,Manila,no
1967,Technology,1716,Manila,no
2374,Technology,690,Manila,no
2931,Technology,181,Manila,no
3083,Technology,266,Manila,no
915,Technology,1304,Manila,no
652,Technology,965,Manila,no
623,Technology,2518,Manila,no
676,Technology,690,Manila,no
12,Technology,1695,Manila,no
2313,Technology,19,Manila,no
2497,Technology,479,Manila,no
1163,Technology,1747,Manila,no
144,Technology,2998,Manila,no
2998,Technology,889,Manila,no
3143,HR,2809,Manila,no
3178,Technology,943,Manila,no
2888,Technology,1716,Manila,no
2339,Technology,2315,Manila,no
218,Technology,2315,Manila,no
421,Technology,144,Manila,no
2708,Facilities,3087,New Delhi,no
1987,DivisionX,369,Hyderabad,no
1764,Operations,2072,New Delhi,no
2096,Training,2751,New Delhi,no
3293,Operations,3087,New Delhi,no
1246,Operations,1999,New Delhi,no
1580,Training,2253,New Delhi,no
2643,Finance,1300,New Delhi,no
271,Training,1680,New Delhi,no
2712,Training,2253,New Delhi,no
649,DivisionX,369,New Delhi,no
534,Finance,2643,New Delhi,no
1664,Training,2096,New Delhi,no
1264,DivisionY,730,New Delhi,no
1396,DivisionY,730,New Delhi,no
429,Facilities,3087,New Delhi,no
533,Operations,2072,New Delhi,no
2071,Training,3183,New Delhi,no
1491,Finance,1300,New Delhi,no
2794,DivisionY,210,New Delhi,no
1721,Training,2071,New Delhi,no
1119,DivisionY,210,New Delhi,no
1132,Operations,696,New Delhi,no
0,Customer Services,696,New Delhi,no
2484,Facilities,3087,New Delhi,no
2462,Training,1993,New Delhi,no
2963,Operations,2072,New Delhi,no
1028,Training,3183,New Delhi,no
210,DivisionY,730,New Delhi,no
1736,Facilities,3087,New Delhi,no
1826,DivisionX,1575,New Delhi,no
2159,Customer Services,696,New Delhi,no
2970,Customer Services,2072,New Delhi,no
448,Training,2071,New Delhi,no
696,Customer Services,2072,New Delhi,no
298,Customer Services,2072,New Delhi,no
2115,Operations,1931,New Delhi,no
1610,Operations,2072,Paris,no
453,Operations,2072,Paris,no
2548,Operations,2072,Paris,no
30,Operations,2072,Paris,no
1569,Training,2347,Thiruvananthapuram,no
1742,Operations,2243,Bengaluru,no
3322,Operations,2243,Bengaluru,no
2761,Training,1245,Bengaluru,no
2991,Customer Services,2243,Bengaluru,no
1245,Training,1085,Bengaluru,no
2347,Training,1680,Thiruvananthapuram,no
1635,Training,1085,Thiruvananthapuram,no
2286,Customer Services,2243,Bengaluru,no
100,Customer Services,2243,Thiruvananthapuram,no
1292,Operations,2243,Bengaluru,no
217,Operations,2243,Bengaluru,no
1972,Customer Services,1931,Mumbai,no
2751,Training,1680,Mumbai,no
1767,Training,2751,Mumbai,no
2570,Operations,1931,Mumbai,no
1084,Training,239,Mumbai,no
